Autoethnography	"According to Cunningham and Jones' article, autoethnography is an ethnography (empirical first-hand research) focused on the self. It is a process in which the author is both the informant and the investigator. 

Autoethnography is used at the beginning of the design stage when designers want to better understand how a consumer views and interacts with the product in question. This method can also be an inexpensive means to test out ethnographic procedures prior to initiating a larger-scale study."	"Tools needed: paper, pen, something to take notes on, journal, computer

The author must:
1. Adopt as objective a stance as possible
2. Usually in first person point of view, record personal activities as soon as possible after the observed/experienced behavior
3. Review and summarize notes (most often compiled as ""reflexive journal summaries"")
"	"Designer can uncover personal biases and preconceptions that could interfere with the design system. The designer also gains experience in thinking of the self as a member of and outsider to a group, placing his or her activities within an analytic context.

Related Methods: Classic Ethnography, Rapid Ethnography, Document gathering, Interviews, Participant Observation

The sole published autoethnography technique used in IT practice (see Duncan) described a 1993 study of hypermedia product development for effective design of hypermedia educational resources and software. The researcher journalized her experiences in designing, creating, and user testing hypermedia. The question asked was ""how can I improve my design process?"""	Cunningham	 Sally Jo. Jones	 Matt. Autoethnography: A tool for practice and education	"Gathering Information
Generating Ideas and Concepts
Analysis & Synthesis"																						
Back to the sun	This method has its basis in the idea that since all physical things are redcuible to primary energy source	 you can analyze any of them by tracing their history to the basic natural source	 the Sun. 																										
Behavior Sampling	Behavior Sampling is a useful way to discover how products and services get integrated into people's routines in unanticipated ways. It involves giving someone a pager or phone and asking them to record and evaluate the situation they are in when it rings.	"Tools Needed: Phone, a person or automated system to make the phone call, a recording device

Give people a pager or phone and ask them to record and evaluate the situation they are in when it rings"	Related Methods: Ethnography	 Diaries	 A day in the life	Behavior Sampling	 IDEO Method Cards. ISBN 0-9544132-1-0	"Gathering Information
Evaluating and Choosing
Generating Ideas and Concepts"																					
Behavioral Archaeology	Behavioral archaeology is the study of material objects regardless of time or space in order to describe and explain human behavior. This method reveals how artifacts and environments figure in people's lives	 highlighting aspects of their lifestyle	 habits	 priorities	 and values.	"There are Four Strategies Based on Question Type:
1. Past Human Behavior/Uses: Prehistoric, Historical, and classical archaeologies
2. Investigation of present to understand laws of the past/Uses: Ethnoarchaeology and experimental archaeology. 
3. Developing laws that represent both past and present human behavior/Uses: Long-term behavioral change
4. Questions about ongoing societies./Uses: Good for those with an interested in explanation of modern behavior

Explain Behavior through different scales
1.	Interaction scale: focus on regularity and variation in person-object interactions. Universal rnprinciples of behavior might be discovered."																							
Activity Scale: variation in activities performed by individuals	 or groups is examined. An activity may be a patterned behavior of material elements.																												
Systemic scale: in an organization of one or more behavioral systems (a set of patterned activities that make up a human group such as household	 community	" etc.)"""	"Behavioral archaeology follows the theory that artifacts, architecture and other items in a  living space are the product of human behavior

Related Methods: ethnography, interviews, focus groups, shadowing, fly on the wall, diaries, shadowing, fly on the wall, a day in the life"	(Deetz 1972	 Leone 1972	 Longacre 1972	 Reid and Schiffer 1973)	"Gathering Information
Analysis and Synthesis
Generating Ideas and Concepts"																					
Bifocal Display	The Bifocal Display is an information presentation technique which allows a large data space to be viewed as a whole	 while simultaneously a portion is seen in full detail. The detail is seen in the context of the overview	 with continuity across the boundaries	 rather than existing in a disjoint window	"To achieve this goal, the display should achieve the following:
1. Clearly indicates how the values relate to one another, which in this case is a part-to-whole relationship - the number of deaths per cause, when summed, equal all deaths during the year.
2. Represents the quantities accurately.
3. Makes it easy to compare the quantities.
4. Makes it easy to see the ranked order of values, such as from the leading cause of death to the least.
5. Makes obvious how people should use the information - what they should use it to accomplish - and encourages them to do this.

See http://www.interaction-design.org/encyclopedia/bifocal_display.html for more information
"		"http://www.interaction-design.org/encyclopedia/bifocal_display.html

"	Communicating Ideas and Concepts																					
Blogs	Blogs provide a quick and informal way to disseminate information to the wider public or specific groups. Most blogs allow readers to comment on the content so the blog can become the focus for a continued discussion amongst site visitors. Blogs can play an important role in public engagement alongside more involving processes. 	For instructions on how to create a blog	 please see: http://www.quackit.com/create-a-blog/		http://www.peopleandparticipation.net/display/Methods/Blogs	Communicating Ideas and Concepts																							
Blueprint	"The blueprint is an operational tool that describes the nature and the characteristics of the service interaction in enough detail to verify, implement and maintain it.
"		This method is based on a graphical technique that displays the process functions above and below the line of visibility to the customer: all the touchpoints and the back-stage processes are documented and aligned to the user experience.	http://www.servicedesigntools.org/tools/35	Communicating Ideas and Concepts																								
Bodystorming	Simple brainstorming	 but done with the body. Fundamentally about one thing: getting people to figure things out by trying things out. 	Takes place in three phases: Level One: Go Observe: Go to the location to do your work. Level Two: Try it out:Use role play and props to develop an idea. Level Three: Reflect on what happens	 and Why: By enacting the experience	 the participants will naturally explore new possibilities. 	Each level of bodystorming will help break the pattern of analyzing ideas around a conference table and get people closer to developing things that will work in the real world. 	pg 60	Gathering information		coined by Colin Burns at CHI'94 in Boston	 Mass. 																		
Brainstorming	Brain storming is one of the oldest known methods for generating group creativity. A group of people come together and focus on a problem or proposal.	 There are two phases of the activity. The first phase generates ideas	 the second phase evaluates them. An experienced facilitator is useful.	"Although some studies have shown that individuals working alone can generate more and better ideas than when working as a group, the brainstorming activity enables everyone in the group to gain a better understanding of the problem space, and has the added benefit of creating a feeling of common ownership of results.

Related methods: focus groups, requirements workshops"	"http://www.usabilitynet.org/tools/brainstorming.htm

Osborn, AF Applied Imagination. Scribeners & Sons, 1963, NY.

Edward de Bono, Serious Creativity, HarperBusiness, New York, US, 1992."	Generating Ideas and Concepts																							
Brainwriting	This is a simple way to generate ideas	 share them	 and build on them within a group. Access to multiple hands	 eyes	 and minds can yield the most interesting results.	"Process: 1. Write the topicaround which you need to generate ideas and draw a picture of it. 2. Distribute index cards to each player and ask them to silently generate ideas related to the topic and write them on the cards. 3 As they complete each idea, ask the players to pass that idea to the person on their right.4. Tell the players to read the cared they received and think of it as an ""idea stimulation"" card. Ask them to add an idea inspired by what they just read or to enhance the idea and then pass again to their right. 5. continue this process of ""brainwriting"" and passing cards to the right until there are various ideas on each card. 6. once finished, collect the cards and ask for help taping them to the wall around the topic and its picture. 7. Have the group come to the wall to review the ideas and draw stars next to the ones they find most compelling and discuss.  "	"Benefit of the method: allows ideas to emerge before being critiqued and create a space for them to be co-created, with multiple owners, and therefore a greater chsnce o follow through. 

Related Method: same named actvitiy in Michael Michalko's Thinkertoys"	pg 83																					
Canonical Abstract Prototyping	"Canonical Abstract Prototyping is an extension to user-centered design that provides a formal vocabulary for expressing visual and interaction design without concern for details of apperance and behavior. The ultimate result of the abstract prototyping process is a complete but abstract provisional design for the entire user interface. Such an abstract prototype can be validated against the task model by walking through task cases or scenarios to verify that tasks can be performed with reasonable efficiency given the tools and materials available.

Canonical Abstract Prototyping is appropriate when attempting to take a task model and create a complete yet abstract conceptual design for the entire user interface. This makes generating a realistic model more straightforward."	"To generate the canonical abstract model from a task model:
1. For each cluster of closely related task cases, an interaction context is provisionally defined. For each task case in a cluster, the defining dialog or narrative is examined.
2. For each step in the narrative, the interface contents necessary for performance of the step are identified and appropriate abstract tools and materials are added to the contents of the interaction context. In practice, this is often accomplished using sticky notes to represent abstract components
3. Where specialized Canonical Abstract Components are clearly needed or preferred, these are used; otherwise, generic tools, materials, or combinations are used. Canonical Abstract Components model the various interactive functions–such as interrupting an action or displaying a collection of information–needed within the realized user interface.
4. Once all the necessary tools and materials have been incorporated into the interaction context, the layout and organization of the interaction context are explored. Area is allocated based on such things as importance, complexity, and user focus.
5. Abstract Components are positioned according to such issues as workflow and conceptual or semantic interrelationships and may be by combined into composite components when meaningful and potentially useful."	"Canonical Abstract Prototypes emerged from a workshop of practitioners convened in 2000 by Constantine & Lockwood, Ltd.

Related Methods: Task Models, Content Modeling

Benefits of this Method:
Design process is more manageable while allowing human creativity and thought to be more targeted toward the important aspects of the design

Deficits of this Method:
Significant details for implementation and realization are not recognized at this stage, leaving it up to resolution by a designer."	Constantine and Lockwood Ltd. www.foruse.com/articles/canonical.pdf	Building ideas/concepts/subconcepts																								
CARD Sorting	"Card Sorting essentially involves the design team selecting a group of people to organize cards spatially, in ways that make sense to them.
Statistical analysis of the respondents sorting can reveal important trends and patterns of the general consumer market.    

Card Sorting is most important in the beginning of the design process when trying to understand which perspectives the users will value most about the product in question. Furthermore, Card Sorting can be used towards the end of the design process as well to check and perhaps correct and/or enhance the product to meet the users' preferences and values."	"In Single-Criterion sorting, the respondents are given a criterion by the designers (e.g. with cards representing the various applications on a phone, the category could be frequency of use). The respondents then sort the cards into categories (e.g. once a day, twice a day, etc. for the phone applications example). Analysis after various categorizations over different criteria eventually allows designers to understand which features are most important and/or useful to consumers.

Tips: Design team needs to sort cards in ways that make sense to them. "	"Benefits of the method: The users can utilize all their senses when investigating the cards allowing them to possibly create new categories of sorting that may not have appeared before.

Deficits of the method: 
Often times, the objects can have strange and/or unwanted relationships that skew the sorting away from the intended categories and perspectives. Furthermore, the sorting can only address ""static, flat, [and] explicit knowledge,"" rather than providing more tacit knowledge about structured relationships.

Related Methods: Empathy Probes,Active Listening Direct Observation,Participant Observation Design-in-Context

"	"McGeorge, P. and G. Rugg. The Sorting Techniques: ""A Tutorial Paper on Card Sorts, Picture Sorts, and Item Sorts."" Expert Systems. London, UK. 1997. p 80-93."	"Generating Ideas and Concepts
Gathering Information"																								
CARD Technique	"The CARD (Collaborative Analysis of Requirement and Design) technique essentially creates cards that explain the results of the discussions, all of which can be used for more formal analytical techniques. This method is used to help the Design Team's members better understand each other's backgrounds and work history, as well as brainstorm innovations to improve the current design process. 

CARD sorting is best used in the very beginning of the design process when design teams are first created."	"A typical CARD session progresses as follows:
1. Introducing People - Team members introduce their names, workplace group interests, etc.
2. Introducing Materials - Each person fills out his/her card with an activity or component of an activity that could occur in the workplace.
3. Work of the Session - The team engages in three sessions of deep involvement:
- Participatory Analysis - Each user describes his or her work and the other members ask questions
- Participatory Design - The entire team discusses a user's work and/or possible innovations in work practice and technologies.
- Participatory Assessment - The entire team collectively critiques a specific work practice."	"The first documented usage of CARD Technique was that of the studies in the work of U S West telephone companies during 1993-1996 Cards for the CARD sessions were based off of the training materials required of the components of the work, and included activities such as ""customers' requests and clarifications, operators' work with keyboard and screen,"" etc.

Related Methods: Card Soring, Informance, Activity Analysis, Participant Observation"	Muller	 Michael. Layered Participatory Analysis: New Developments in the CARD Technique. CHI. Cambridge	 MA. 2001.rn	"Analysis & Synthesis
Evaluating and choosing
Gathering Information"																						
Character Profile	"The character profiles is a tool for the creation of a shared knowledgeabout the service users inside the team. In order to build these character profiles it’s required the identification of some significant fictitious characters and then the collecting of an image and a textual description for each one of them.
The character profiles offer a clear and visible picture of the different kinds of users that are the centre of the design activities.

This method should be used in the design phase process when trying to learn about the user and how he/she interacts with his/her environment."	Character Profiling involves gathering data based on observations to develop character profiles that represent archetypes and the details of their behavior or lifestyl.e		http://servicedesigntools.org/tools/6	"Generating Ideas and Concepts
Evaluating an Choosing"																								
Checklists	List making has many variations including checklists	 lists of components or parts	 lists of purposes and reasons	 lists of options and possibilities. Brainstorming is most popular among consciously applied design methods. 	Compile a list of components	 parts	 purposes	 reasons	 concepts	 ideas	 etc. and enumerate them	Learning to make lists is fundamental to becoming more methodical and process-aware. 		"Generating Ideas and Concepts
Communicating Ideas and Concepts"															
Citizen Advisory Groups	"Advisory groups can take many different forms depending on the exact purpose of the group. 
The group needs to have access to relevant information and may meet either over a couple of days as a one-off event, or regularly over a longer period."	"Tips:
1. Find the right people: Bring on those most affected first, then those who are generally interested, and then fill in any missing areas of expertise.
2.  Get the group organized: Develop a clear goal, keep members focused on choices, and highlight underlying values of the issues.
3. Give them the problem—and stand behind their decision(s) or product(s).
4. Make everyone’s role clear: Maintain the focus and let the citizens make the choices.

"	While not as indepth as a community-wide vi- sioning event may be	 a citizen advisory group al- lows your planning commission to gain insight into important preferences as determined by a sample of your community’s experience and expertise. When- ever a group of people converge to discuss a plan- ning topic	 you are likely to observe community-held opinions.	"http://www.peopleandparticipation.net/display/Methods/Citizen+Advisory+Groups

http://www.uvm.edu/extension/community/fs176-5.pdf"	"Evaluating and Choosing
Gathering Information"																						
